Model_Job	Iso_ID	Base_Tpl	Tpl_Iso_Chain	Tpl_Inter_Chain	Model_Iso_Chain	Model_Inter_Chain	Model_Name	FoldX_Interaction_Energy
NPM1_1__P06748_S0__Q86SE8_S0__AFMM1_B__partner_A	NPM1_1	P06748_S0__Q86SE8_S0__AFMM1	B	A	A	B	NPM1_1.B99990030.pdb	4.11231
NPM1_2__P06748_S0__Q86SE8_S0__AFMM1_B__partner_A	NPM1_2	P06748_S0__Q86SE8_S0__AFMM1	B	A	A	B	NPM1_2.B99990003.pdb	-16.0822
PPP3CA_1__4OR9_A__partner_B	PPP3CA_1	4OR9	A	B	A	B	PPP3CA_1.B99990028.pdb	-60.9863
PPP3CA_2__4OR9_A__partner_B	PPP3CA_2	4OR9	A	B	A	B	PPP3CA_2.B99990004.pdb	-59.1151
PPP3CA_1__4ORC_A__partner_B	PPP3CA_1	4ORC	A	B	A	B	PPP3CA_1.B99990072.pdb	-75.8816
PPP3CA_2__4ORC_A__partner_B	PPP3CA_2	4ORC	A	B	A	B	PPP3CA_2.B99990077.pdb	-83.9836
RXRB_1__4NQA_A__partner_B	RXRB_1	4NQA	A	B	A	B	RXRB_1.B99990099.pdb	-18.719
RXRB_2__4NQA_A__partner_B	RXRB_2	4NQA	A	B	A	B	RXRB_2.B99990096.pdb	-17.831
RXRB_4__4NQA_A__partner_B	RXRB_4	4NQA	A	B	A	B	RXRB_4.B99990011.pdb	-29.0797
RXRB_1__5UAN_A__partner_B	RXRB_1	5UAN	A	B	A	B	RXRB_1.B99990023.pdb	-17.3717
RXRB_2__5UAN_A__partner_B	RXRB_2	5UAN	A	B	A	B	RXRB_2.B99990073.pdb	-18.9894
RXRB_4__5UAN_A__partner_B	RXRB_4	5UAN	A	B	A	B	RXRB_4.B99990057.pdb	17.8978
RXRB_1__4IQR_B__partner_A	RXRB_1	4IQR	B	A	A	B	RXRB_1.B99990048.pdb	-14.5732
RXRB_2__4IQR_B__partner_A	RXRB_2	4IQR	B	A	A	B	RXRB_2.B99990049.pdb	-11.5437
RXRB_3__4IQR_B__partner_A	RXRB_3	4IQR	B	A	A	B	RXRB_3.B99990037.pdb	-8.6912
RXRB_3__5UAN_A__partner_B	RXRB_3	5UAN	A	B	A	B	RXRB_3.B99990050.pdb	-22.7953
UCK1_3__6PWZ_H__partner_B	UCK1_3	6PWZ	H	B	A	B	UCK1_3.B99990074.pdb	-17.9153
UCK1_5__6PWZ_H__partner_B	UCK1_5	6PWZ	H	B	A	B	UCK1_5.B99990098.pdb	-19.3772
UCK1_1__9SGF_A__partner_B	UCK1_1	9SGF	A	B	A	B	UCK1_1.B99990100.pdb	-2.02173
UCK1_3__9SGF_A__partner_B	UCK1_3	9SGF	A	B	A	B	UCK1_3.B99990058.pdb	-21.4185
UCK1_5__9SGF_A__partner_B	UCK1_5	9SGF	A	B	A	B	UCK1_5.B99990032.pdb	-16.3987
UCK1_1__9SGF_B__partner_A	UCK1_1	9SGF	B	A	A	B	UCK1_1.B99990037.pdb	-0.636152
UCK1_3__9SGF_B__partner_A	UCK1_3	9SGF	B	A	A	B	UCK1_3.B99990017.pdb	-16.217
UCK1_5__9SGF_B__partner_A	UCK1_5	9SGF	B	A	A	B	UCK1_5.B99990048.pdb	-19.5896
UPP2_1__2XRF_B__partner_C	UPP2_1	2XRF	B	C	A	B	UPP2_1.B99990099.pdb	-76.6749
UPP2_2__2XRF_B__partner_C	UPP2_2	2XRF	B	C	A	B	UPP2_2.B99990028.pdb	-67.6722
UPP2_3__2XRF_B__partner_C	UPP2_3	2XRF	B	C	A	B	UPP2_3.B99990018.pdb	-72.8385
UPP2_1__2XRF_C__partner_B	UPP2_1	2XRF	C	B	A	B	UPP2_1.B99990004.pdb	-76.9033
UPP2_2__2XRF_C__partner_B	UPP2_2	2XRF	C	B	A	B	UPP2_2.B99990032.pdb	-69.9371
UPP2_3__2XRF_C__partner_B	UPP2_3	2XRF	C	B	A	B	UPP2_3.B99990005.pdb	-70.7953
UPP2_4__2XRF_C__partner_B	UPP2_4	2XRF	C	B	A	B	UPP2_4.B99990083.pdb	-9.84942
