Comparison_ID	Iso_Comparison	Base_Iso	Iso_1	Iso_2	Inter_ID	Interaction_Found_1	Interaction_Found_2	Source	Base_Tpl	Tpl_Iso_Chain	Tpl_Inter_Chain	Model_Name_1	Model_Name_2	Inter_CA_Pairs	Inter_CA_RMSD	Iso_Sequence_Identity	Iso_Alignment_Coverage_1	Iso_Alignment_Coverage_2	Iso_1_Interface_Residue_Count	Iso_2_Interface_Residue_Count	Shared_Inter_Interface_Residue_Count	Lost_Inter_Interface_Residue_Count	Gained_Inter_Interface_Residue_Count	Inter_Interface_Jaccard	Shared_Mapped_Contact_Count	Lost_Mapped_Contact_Count	Gained_Mapped_Contact_Count	Mapped_Contact_Jaccard	FoldX_Interaction_Energy_1	FoldX_Interaction_Energy_2	FoldX_Energy_Difference_Positive_Minus_Negative	FoldX_Energy_Direction	FoldX_Direction_Matches_Y2H
RXRB_3__vs__RXRB_1__RARB__4IQR__B__A	RXRB_3__vs__RXRB_1	RXRB	RXRB_3	RXRB_1	RARB	negative	positive	StructMAn	4IQR	B	A	RXRB_3.B99990037.pdb	RXRB_1.B99990048.pdb	302	0.1358	1.0	1.0	0.9531	53	54	52	3	9	0.8125	129	32	42	0.6355	-8.6912	-14.5732	-5.882	positive_iso_more_favorable	yes
RXRB_3__vs__RXRB_2__RARB__4IQR__B__A	RXRB_3__vs__RXRB_2	RXRB	RXRB_3	RXRB_2	RARB	negative	positive	StructMAn	4IQR	B	A	RXRB_3.B99990037.pdb	RXRB_2.B99990049.pdb	302	0.1187	1.0	1.0	0.946	53	51	54	1	7	0.871	139	22	34	0.7128	-8.6912	-11.5437	-2.852499999999999	positive_iso_more_favorable	yes
RXRB_3__vs__RXRB_1__RARB__5UAN__A__B	RXRB_3__vs__RXRB_1	RXRB	RXRB_3	RXRB_1	RARB	negative	positive	MMseqs2	5UAN	A	B	RXRB_3.B99990050.pdb	RXRB_1.B99990023.pdb	308	0.3137	1.0	1.0	0.9531	33	31	36	4	0	0.9	85	14	9	0.787	-22.7953	-17.3717	5.4236	negative_iso_more_favorable	no
RXRB_4__vs__RXRB_1__RARB__5UAN__A__B	RXRB_4__vs__RXRB_1	RXRB	RXRB_4	RXRB_1	RARB	negative	positive	MMseqs2	5UAN	A	B	RXRB_4.B99990057.pdb	RXRB_1.B99990023.pdb	308	0.4328	0.8256	0.9321	0.8499	50	31	34	22	2	0.5862	86	109	8	0.4236	17.8978	-17.3717	-35.2695	positive_iso_more_favorable	yes
RXRB_3__vs__RXRB_2__RARB__5UAN__A__B	RXRB_3__vs__RXRB_2	RXRB	RXRB_3	RXRB_2	RARB	negative	positive	MMseqs2	5UAN	A	B	RXRB_3.B99990050.pdb	RXRB_2.B99990073.pdb	308	0.2027	1.0	1.0	0.946	33	43	36	4	6	0.7826	85	14	24	0.6911	-22.7953	-18.9894	3.805900000000001	negative_iso_more_favorable	no
RXRB_4__vs__RXRB_2__RARB__5UAN__A__B	RXRB_4__vs__RXRB_2	RXRB	RXRB_4	RXRB_2	RARB	negative	positive	MMseqs2	5UAN	A	B	RXRB_4.B99990057.pdb	RXRB_2.B99990073.pdb	308	0.3077	0.8271	0.9403	0.851	50	43	38	18	4	0.6333	97	98	12	0.4686	17.8978	-18.9894	-36.8872	positive_iso_more_favorable	yes
UCK1_3__vs__UCK1_5__UCK1__6PWZ__H__B	UCK1_3__vs__UCK1_5	UCK1	UCK1_3	UCK1_5	UCK1	negative	positive	StructMAn	6PWZ	H	B	UCK1_3.B99990074.pdb	UCK1_5.B99990098.pdb	215	0.1107	1.0	0.9009	1.0	26	25	27	0	1	0.9643	84	5	5	0.8936	-17.9153	-19.3772	-1.4619	positive_iso_more_favorable	yes
UCK1_1__vs__UCK1_5__UCK1__9SGF__A__B	UCK1_1__vs__UCK1_5	UCK1	UCK1_1	UCK1_5	UCK1	negative	positive	MMseqs2	9SGF	A	B	UCK1_1.B99990100.pdb	UCK1_5.B99990032.pdb	213	0.1146	0.8686	0.8706	0.8373	5	25	4	0	21	0.16	7	0	74	0.0864	-2.02173	-16.3987	-14.376970000000002	positive_iso_more_favorable	yes
UCK1_3__vs__UCK1_5__UCK1__9SGF__A__B	UCK1_3__vs__UCK1_5	UCK1	UCK1_3	UCK1_5	UCK1	negative	positive	MMseqs2	9SGF	A	B	UCK1_3.B99990058.pdb	UCK1_5.B99990032.pdb	213	0.1239	1.0	0.9009	1.0	24	25	24	1	1	0.9231	78	2	3	0.9398	-21.4185	-16.3987	5.0198	negative_iso_more_favorable	no
UCK1_1__vs__UCK1_5__UCK1__9SGF__B__A	UCK1_1__vs__UCK1_5	UCK1	UCK1_1	UCK1_5	UCK1	negative	positive	MMseqs2	9SGF	B	A	UCK1_1.B99990037.pdb	UCK1_5.B99990048.pdb	213	0.1142	0.8686	0.8706	0.8373	9	23	7	1	19	0.2593	8	5	75	0.0909	-0.636152	-19.5896	-18.953448	positive_iso_more_favorable	yes
UCK1_3__vs__UCK1_5__UCK1__9SGF__B__A	UCK1_3__vs__UCK1_5	UCK1	UCK1_3	UCK1_5	UCK1	negative	positive	MMseqs2	9SGF	B	A	UCK1_3.B99990017.pdb	UCK1_5.B99990048.pdb	213	0.1334	1.0	0.9009	1.0	26	23	26	1	0	0.963	82	7	1	0.9111	-16.217	-19.5896	-3.372600000000002	positive_iso_more_favorable	yes
UPP2_3__vs__UPP2_1__UPP2__2XRF__B__C	UPP2_3__vs__UPP2_1	UPP2	UPP2_3	UPP2_1	UPP2	negative	positive	MMseqs2	2XRF	B	C	UPP2_3.B99990018.pdb	UPP2_1.B99990099.pdb	286	0.2439	1.0	1.0	0.8328	80	85	79	0	9	0.8977	282	17	38	0.8368	-72.8385	-76.6749	-3.8363999999999976	positive_iso_more_favorable	yes
UPP2_3__vs__UPP2_2__UPP2__2XRF__B__C	UPP2_3__vs__UPP2_2	UPP2	UPP2_3	UPP2_2	UPP2	negative	positive	MMseqs2	2XRF	B	C	UPP2_3.B99990018.pdb	UPP2_2.B99990028.pdb	286	0.2621	0.9649	0.8636	0.8114	80	80	78	1	7	0.907	263	36	38	0.7804	-72.8385	-67.6722	5.166299999999993	negative_iso_more_favorable	no
UPP2_3__vs__UPP2_1__UPP2__2XRF__C__B	UPP2_3__vs__UPP2_1	UPP2	UPP2_3	UPP2_1	UPP2	negative	positive	Both	2XRF	C	B	UPP2_3.B99990005.pdb	UPP2_1.B99990004.pdb	288	0.2578	1.0	1.0	0.8328	79	86	79	2	10	0.8681	279	17	40	0.8304	-70.7953	-76.9033	-6.108000000000004	positive_iso_more_favorable	yes
UPP2_4__vs__UPP2_1__UPP2__2XRF__C__B	UPP2_4__vs__UPP2_1	UPP2	UPP2_4	UPP2_1	UPP2	negative	positive	StructMAn	2XRF	C	B	UPP2_4.B99990083.pdb	UPP2_1.B99990004.pdb	288	0.121	0.9692	1.0	0.205	16	86	22	1	67	0.2444	53	4	266	0.1641	-9.84942	-76.9033	-67.05388	positive_iso_more_favorable	yes
UPP2_3__vs__UPP2_2__UPP2__2XRF__C__B	UPP2_3__vs__UPP2_2	UPP2	UPP2_3	UPP2_2	UPP2	negative	positive	Both	2XRF	C	B	UPP2_3.B99990005.pdb	UPP2_2.B99990032.pdb	288	0.2657	0.9649	0.8636	0.8114	79	81	77	4	8	0.8652	264	32	40	0.7857	-70.7953	-69.9371	0.8581999999999965	negative_iso_more_favorable	no
UPP2_4__vs__UPP2_2__UPP2__2XRF__C__B	UPP2_4__vs__UPP2_2	UPP2	UPP2_4	UPP2_2	UPP2	negative	positive	StructMAn	2XRF	C	B	UPP2_4.B99990083.pdb	UPP2_2.B99990032.pdb	288	0.1281	0.9231	1.0	0.2313	16	81	23	0	62	0.2706	53	4	251	0.1721	-9.84942	-69.9371	-60.08768	positive_iso_more_favorable	yes
