Gene A	Input Protein ID A	Primary Protein ID A	Uniprot-Ac A	Interface Number A	Gene B	Input Protein ID B	Primary Protein ID B	Uniprot-Ac B	Interface Number B	Structure Recommendation	Interaction Score
-	MDM4	MDM4	-	-	-	CAMK2D	CAMK2D	-	-	Q00987_S0__Q9NRM7_S0__AFMM4:A:B	68.5282
-	RINT1	RINT1	-	-	-	LMBR1L_4_frame1	LMBR1L_4_frame1	-	-	Q6NUQ1_S0__Q6UX01_S0__AF4:A:B	24.9397
-	RINT1	RINT1	-	-	-	LMBR1L_1_frame1	LMBR1L_1_frame1	-	-	Q6NUQ1_S0__Q6UX01_S0__AF4:A:B	24.9397
-	RINT1	RINT1	-	-	-	LMBR1L_5_frame1	LMBR1L_5_frame1	-	-	Q6NUQ1_S0__Q6UX01_S0__AF4:A:B	24.9397
-	CDX4	CDX4	-	-	-	PTK2	PTK2	-	-	P14616_S2__P50222_S0__AFMM2:B:A	22.2728
-	CDX4	CDX4	-	-	-	LCK_2_frame1	LCK_2_frame1	-	-	P14616_S2__P50222_S0__AFMM2:B:A	25.9352
-	CDX4	CDX4	-	-	-	CDK20_3_frame1	CDK20_3_frame1	-	-	P14616_S2__P50222_S0__AFMM2:B:A	3.0119
-	CDX4	CDX4	-	-	-	ANKRD50_2_frame1	ANKRD50_2_frame1	-	-	O95271_S1__Q9Y2V3_S0__AFMM3:B:A	10.4823
-	CDX4	CDX4	-	-	-	PPP1R12B_1_frame1	PPP1R12B_1_frame1	-	-	O60902_S0__Q6P6B7_S0__AFMM2:A:B	21.2974
-	NOTCH2NL	NOTCH2NL	-	-	-	NOTCH2NL	NOTCH2NL	-	-	4D90_AU:B:A	75.7667
-	NOTCH2NL	NOTCH2NL	-	-	-	LAMB3_1_frame1	LAMB3_1_frame1	-	-	P55268_S3__Q13753_S1__AFMM2:A:B	53.7751
-	NOTCH2NL	NOTCH2NL	-	-	-	EFEMP2	EFEMP2	-	-	Q92832_S2__Q99435_S2__AFMM2:B:A	65.8948
-	NOTCH2NL	NOTCH2NL	-	-	-	LCK_2_frame1	LCK_2_frame1	-	-	P00533_S2__Q04721_S1__AFMM4:B:A	44.3589
-	NOTCH2NL	NOTCH2NL	-	-	-	LCK_1_frame1	LCK_1_frame1	-	-	P00533_S2__Q04721_S1__AFMM4:B:A	44.3589
-	LSM3	LSM3	-	-	-	LSM1_1_frame1	LSM1_1_frame1	-	-	1I8F:G:F	71.3806
-	LSM3	LSM3	-	-	-	LSM3	LSM3	-	-	1I8F:C:B	47.8853
-	NCF2_1_frame1	NCF2_1_frame1	-	-	-	PSTPIP1	PSTPIP1	-	-	P14598_S0__P19878_S0__AFMM1:B:A	60.0363
-	NCF2_1_frame1	NCF2_1_frame1	-	-	-	NCF2_1_frame1	NCF2_1_frame1	-	-	2A08_AU:B:A	10.9742
-	NCF2_1_frame1	NCF2_1_frame1	-	-	-	NCF2_3_frame1	NCF2_3_frame1	-	-	2A08_AU:B:A	10.9742
-	NCF2_1_frame1	NCF2_1_frame1	-	-	-	SORBS3	SORBS3	-	-	2A08_AU:B:A	10.9742
-	NCF2_1_frame1	NCF2_1_frame1	-	-	-	NCK2_1_frame1	NCK2_1_frame1	-	-	Q5HYK7_S0__Q96HL8_S0__AF1:A:B	17.8329
-	THAP1	THAP1	-	-	-	KRT40	KRT40	-	-	O76011_S0__Q9BT49_S0__AFMM5:B:A	68.9453
-	THAP1	THAP1	-	-	-	KRT19	KRT19	-	-	O76011_S0__Q9BT49_S0__AFMM5:B:A	68.9453
-	THAP1	THAP1	-	-	-	KRT18	KRT18	-	-	O76011_S0__Q9BT49_S0__AFMM5:B:A	68.9453
-	THAP1	THAP1	-	-	-	KRT15	KRT15	-	-	O76011_S0__Q9BT49_S0__AFMM5:B:A	68.9453
-	THAP1	THAP1	-	-	-	KRT33B	KRT33B	-	-	O76011_S0__Q9BT49_S0__AFMM5:B:A	68.9453
-	ACBD4_2_frame1	ACBD4_2_frame1	-	-	-	ACBD4_2_frame1	ACBD4_2_frame1	-	-	3EPY_AU:B:A	193.875
-	ACBD4_2_frame1	ACBD4_2_frame1	-	-	-	ACBD4_1_frame1	ACBD4_1_frame1	-	-	3EPY_AU:B:A	193.875
-	ACBD4_2_frame1	ACBD4_2_frame1	-	-	-	ACBD4_3_frame1	ACBD4_3_frame1	-	-	3EPY_AU:B:A	193.875
-	ACBD4_2_frame1	ACBD4_2_frame1	-	-	-	ACBD4_4_frame1	ACBD4_4_frame1	-	-	3EPY_AU:B:A	193.875
-	ACBD4_2_frame1	ACBD4_2_frame1	-	-	-	PTPRN	PTPRN	-	-	P18031_S0__Q5T8D3_S0__AFMM5:B:A	23.8312
-	TRIM9_ORF1	TRIM9_ORF1	-	-	-	TRIM9_ORF1	TRIM9_ORF1	-	-	Q6ZTA4_S0__Q9C026_S0__AFMM5:A:B	399.217
-	TRIM9_ORF1	TRIM9_ORF1	-	-	-	TRIP6_ORF1	TRIP6_ORF1	-	-	O43294_S0__Q6ZTA4_S0__AF:B:A	6.6017
-	TRIM9_ORF1	TRIM9_ORF1	-	-	-	CDK20_5_frame1	CDK20_5_frame1	-	-	Q6ZTA4_S0__Q9UQ88_S0__AF3:A:B	14.3581
-	TRIM9_ORF1	TRIM9_ORF1	-	-	-	CDK20_3_frame1	CDK20_3_frame1	-	-	Q6ZTA4_S0__Q9UQ88_S0__AF3:A:B	14.3581
-	TRIM9_ORF1	TRIM9_ORF1	-	-	-	CDK20_4_frame1	CDK20_4_frame1	-	-	Q6ZTA4_S0__Q9UQ88_S0__AF3:A:B	14.3581
-	SLC25A10_2_frame1	SLC25A10_2_frame1	-	-	-	STK25_3_frame1	STK25_3_frame1	-	-	P05141_S0__Q13233_S2__AFMM2:A:B	41.5868
-	TTC12	TTC12	-	-	-	TTC12	TTC12	-	-	2VYI_AU:B:A	5.1499
-	TTC12	TTC12	-	-	-	DYX1C1_2_frame1	DYX1C1_2_frame1	-	-	2VYI_AU:B:A	5.1499
-	TTC12	TTC12	-	-	-	SGTA	SGTA	-	-	2VYI_AU:B:A	5.1499
-	YARS_1_frame1	YARS_1_frame1	-	-	-	YARS_1_frame1	YARS_1_frame1	-	-	2CYB:B:A	137.433
-	YARS_1_frame1	YARS_1_frame1	-	-	-	THAP1	THAP1	-	-	Q12904_S0__Q9NVV9_S0__AFMM4:A:B	25.6784
-	DGUOK_5_frame3	DGUOK_5_frame3	-	-	-	DGUOK_1_frame1	DGUOK_1_frame1	-	-	P27707_S0__Q16854_S0__AF1:B:A	23.2964
-	DGUOK_5_frame3	DGUOK_5_frame3	-	-	-	DGUOK_5_frame3	DGUOK_5_frame3	-	-	P27707_S0__Q16854_S0__AF1:B:A	8.2611
-	MCMBP_3_frame1	MCMBP_3_frame1	-	-	-	MCM7_1_frame1	MCM7_1_frame1	-	-	P33991_S0__Q9BTE3_S0__AFMM2:B:A	41.0609
-	COG7_3_frame1	COG7_3_frame1	-	-	-	COG5	COG5	-	-	P83436_S1__Q9UP83_S0__AF:A:B	53.7625
-	PHF21B_2_frame1	PHF21B_2_frame1	-	-	-	STK25_1_frame1	STK25_1_frame1	-	-	Q12873_S1__Q8NEV1_S0__AFMM4:A:B	20.722
-	PSTPIP1	PSTPIP1	-	-	-	PSTPIP1	PSTPIP1	-	-	7AAN:B:A	395.03
-	PSTPIP1	PSTPIP1	-	-	-	PSTPIP2_3_frame1	PSTPIP2_3_frame1	-	-	7AAN:B:A	374.489
-	PSTPIP1	PSTPIP1	-	-	-	PSTPIP2_1_frame1	PSTPIP2_1_frame1	-	-	7AAN:B:A	383.888
-	PSTPIP1	PSTPIP1	-	-	-	NCF2_1_frame1	NCF2_1_frame1	-	-	P14598_S0__P19878_S0__AFMM1:A:B	109.189
-	PSTPIP1	PSTPIP1	-	-	-	CRK_2_frame1	CRK_2_frame1	-	-	P15498_S2__P46109_S0__AFMM2:B:A	22.3562
-	CDK20_5_frame1	CDK20_5_frame1	-	-	-	IRAK4_1_frame1	IRAK4_1_frame1	-	-	7P3V:B:A	103.052
-	CDK20_5_frame1	CDK20_5_frame1	-	-	-	LCK_2_frame1	LCK_2_frame1	-	-	7P3V:B:A	90.2929
-	CDK20_5_frame1	CDK20_5_frame1	-	-	-	LCK_1_frame1	LCK_1_frame1	-	-	7P3V:B:A	90.2929
-	CDK20_5_frame1	CDK20_5_frame1	-	-	-	ANKRD50_2_frame1	ANKRD50_2_frame1	-	-	P11802_S0__P42772_S0__AFMM3:A:B	55.6964
-	CDK20_5_frame1	CDK20_5_frame1	-	-	-	PPP1R12B_2_frame1	PPP1R12B_2_frame1	-	-	1G3N:A:B	64.1968
-	CDK20_3_frame1	CDK20_3_frame1	-	-	-	STK25_3_frame1	STK25_3_frame1	-	-	7L26_AU:B:A	198.839
-	CDK20_3_frame1	CDK20_3_frame1	-	-	-	STK25_2_frame2	STK25_2_frame2	-	-	7L26_AU:B:A	199.484
-	CDK20_3_frame1	CDK20_3_frame1	-	-	-	MNAT1_1_frame1	MNAT1_1_frame1	-	-	P50613_S0__P51948_S0__AFMM1:A:B	68.5205
-	CDK20_3_frame1	CDK20_3_frame1	-	-	-	LCK_2_frame1	LCK_2_frame1	-	-	3F5P_AU:D:C	27.4094
-	CDK20_3_frame1	CDK20_3_frame1	-	-	-	LCK_1_frame1	LCK_1_frame1	-	-	3F5P_AU:D:C	27.4094
-	NMNAT1	NMNAT1	-	-	-	NMNAT1	NMNAT1	-	-	9IW1:A:B	95.4105
-	CCNDBP1	CCNDBP1	-	-	-	ZNF471	ZNF471	-	-	O95273_S0__Q12901_S0__AFMM2:A:B	108.247
-	CCNDBP1	CCNDBP1	-	-	-	ZNF341_ORF1	ZNF341_ORF1	-	-	O95273_S0__Q12901_S0__AFMM2:A:B	86.8459
-	CCNDBP1	CCNDBP1	-	-	-	ZNF688_4_frame1	ZNF688_4_frame1	-	-	O95273_S0__Q12901_S0__AFMM2:A:B	39.56
-	CCNDBP1	CCNDBP1	-	-	-	ZBTB1	ZBTB1	-	-	O95273_S0__Q12901_S0__AFMM2:A:B	106.568
-	CCNDBP1	CCNDBP1	-	-	-	SP4	SP4	-	-	O95273_S0__Q7L945_S0__AF:A:B	28.0242
-	NR1H3	NR1H3	-	-	-	RARB	RARB	-	-	4NQA_AU:I:H	71.8386
-	NR1H3	NR1H3	-	-	-	NR1H3	NR1H3	-	-	P37231_S0__Q92731_S0__AFMM5:A:B	44.9779
-	NR1H3	NR1H3	-	-	-	NR1H4	NR1H4	-	-	P55055_S0__Q13133_S0__AFMM1:A:B	39.7842
-	NR1H3	NR1H3	-	-	-	ZKSCAN4_1_frame1	ZKSCAN4_1_frame1	-	-	P08047_S0__Q03181_S0__AFMM1:B:A	27.4359
-	NR1H3	NR1H3	-	-	-	ZNF483	ZNF483	-	-	P08047_S0__Q03181_S0__AFMM1:B:A	26.5799
-	U2AF1	U2AF1	-	-	-	U2AF1	U2AF1	-	-	7C08_AU:G:A	17.6566
-	U2AF1	U2AF1	-	-	-	RBM39	RBM39	-	-	Q14498_S0__Q8WU68_S0__AF1:B:A	11.2124
-	HSFY1	HSFY1	-	-	-	HSFY1	HSFY1	-	-	5HDN:B:A	9.4882
-	TADA2A_ORF1	TADA2A_ORF1	-	-	-	TADA3	TADA3	-	-	O75478_S0__O75528_S0__AFMM5:A:B	207.452
-	PMM2_1_frame1	PMM2_1_frame1	-	-	-	PMM2_1_frame1	PMM2_1_frame1	-	-	6I5X:A:D	82.0978
-	BTRC_4_frame1	BTRC_4_frame1	-	-	-	BTRC_3_frame1	BTRC_3_frame1	-	-	Q9UKB1_S0__Q9Y297_S0__AFMM3:B:A	46.2343
-	BTRC_4_frame1	BTRC_4_frame1	-	-	-	BTRC_4_frame1	BTRC_4_frame1	-	-	Q9UKB1_S0__Q9Y297_S0__AFMM3:A:B	46.2343
-	BTRC_4_frame1	BTRC_4_frame1	-	-	-	BTRC_1_frame1	BTRC_1_frame1	-	-	Q9UKB1_S0__Q9Y297_S0__AFMM3:B:A	46.2343
-	BTRC_4_frame1	BTRC_4_frame1	-	-	-	EHMT2	EHMT2	-	-	6W5M:B:C	9.6151
-	BTRC_4_frame1	BTRC_4_frame1	-	-	-	IRAK4_1_frame1	IRAK4_1_frame1	-	-	Q969H0_S0__Q9H0K1_S0__AF:A:B	1.1729
-	GINS3_1_frame1	GINS3_1_frame1	-	-	-	MCM7_1_frame1	MCM7_1_frame1	-	-	6RAX:M:3	60.2368
-	SIAH1_ORF1	SIAH1_ORF1	-	-	-	SIAH1_ORF1	SIAH1_ORF1	-	-	O43255_S0__Q8IUQ4_S0__AFMM1:A:B	54.2123
-	SIAH1_ORF1	SIAH1_ORF1	-	-	-	SIAH1_ORF2	SIAH1_ORF2	-	-	O43255_S0__Q8IUQ4_S0__AFMM1:A:B	54.2123
-	DOCK8	DOCK8	-	-	-	DOCK8	DOCK8	-	-	6TKY_AU:B:A	4.8762
-	WAC	WAC	-	-	-	RNF40_2_frame1	RNF40_2_frame1	-	-	Q5VTR2_S1__Q9BTA9_S0__AFMM2:B:A	90.4109
-	WAC	WAC	-	-	-	RNF40_1_frame1	RNF40_1_frame1	-	-	Q5VTR2_S1__Q9BTA9_S0__AFMM2:B:A	90.4109
-	WAC	WAC	-	-	-	MTUS2	MTUS2	-	-	Q5JR59_S0__Q9BTA9_S0__AFMM5:B:A	44.0823
-	PPP1CB	PPP1CB	-	-	-	ANKRD50_2_frame1	ANKRD50_2_frame1	-	-	P62136_S0__Q9Y6X6_S1__AFMM1:A:B	66.2114
-	PPP1CB	PPP1CB	-	-	-	AKT1_1_frame1	AKT1_1_frame1	-	-	P16298_S0__Q8IWU2_S0__AF:A:B	0.2305
-	TCF4	TCF4	-	-	-	TCF4	TCF4	-	-	6T78_AU:A:B	2.145
-	TCF4	TCF4	-	-	-	AES	AES	-	-	Q04727_S0__Q9NQB0_S0__AFMM2:B:A	18.4071
-	TCF4	TCF4	-	-	-	EHMT2	EHMT2	-	-	Q9NQB0_S0__Q9NQR1_S0__AFMM1:A:B	21.0025
-	LCP2	LCP2	-	-	-	NCK1_2_frame1	NCK1_2_frame1	-	-	P08631_S0__Q13094_S0__AFMM1:B:A	18.9549
-	LCP2	LCP2	-	-	-	WASL	WASL	-	-	O43516_S0__P42768_S0__AFMM5:A:B	101.632
-	VPS28_1_frame1	VPS28_1_frame1	-	-	-	VPS28_1_frame1	VPS28_1_frame1	-	-	6VME_AU:X:Y	30.3513
-	VPS28_1_frame1	VPS28_1_frame1	-	-	-	VPS28_2_frame1	VPS28_2_frame1	-	-	6VME_AU:X:Y	30.3513
-	KRT31	KRT31	-	-	-	KRT6A_1_frame1	KRT6A_1_frame1	-	-	P19013_S0__Q2M2I5_S0__AF3:B:A	277.723
-	KRT31	KRT31	-	-	-	NEFL	NEFL	-	-	P19013_S0__Q2M2I5_S0__AF3:B:A	332.941
-	KRT31	KRT31	-	-	-	DES	DES	-	-	P19013_S0__Q2M2I5_S0__AF3:B:A	308.159
-	KRT31	KRT31	-	-	-	KRT13	KRT13	-	-	A0A140TA62_S0__Q7Z3Y8_S0__AFMM5:A:B	248.5
-	KRT31	KRT31	-	-	-	KRT31	KRT31	-	-	A0A140TA62_S0__Q7Z3Y8_S0__AFMM5:B:A	246.775
-	ZSCAN20	ZSCAN20	-	-	-	ZNF341_ORF1	ZNF341_ORF1	-	-	O43345_S2__Q05481_S2__AF:A:B	80.0543
-	ZSCAN20	ZSCAN20	-	-	-	ZBTB1	ZBTB1	-	-	Q13105_S0__Q6ZSB9_S0__AFMM5:A:B	54.3561
-	ZSCAN20	ZSCAN20	-	-	-	ZKSCAN4_3_frame1	ZKSCAN4_3_frame1	-	-	P17040_S0__Q3MJ62_S0__AFMM2:A:B	62.9726
-	ZSCAN20	ZSCAN20	-	-	-	ZNF688_2_frame1	ZNF688_2_frame1	-	-	Q96IT1_S0__Q9Y5A6_S0__AFMM3:B:A	64.2285
-	ZSCAN20	ZSCAN20	-	-	-	CCNDBP1	CCNDBP1	-	-	O95273_S0__Q12901_S0__AFMM2:B:A	88.7551
-	RXRB_1_frame1	RXRB_1_frame1	-	-	-	RARB	RARB	-	-	4IQR_AU:B:A	63.6176
-	RXRB_1_frame1	RXRB_1_frame1	-	-	-	RXRB_1_frame1	RXRB_1_frame1	-	-	P13056_S0__P49116_S0__AFMM1:A:B	83.1568
-	RXRB_1_frame1	RXRB_1_frame1	-	-	-	RXRB_2_frame1	RXRB_2_frame1	-	-	P13056_S0__P49116_S0__AFMM1:A:B	83.1568
-	RXRB_1_frame1	RXRB_1_frame1	-	-	-	RXRB_4_frame2	RXRB_4_frame2	-	-	P13056_S0__P49116_S0__AFMM1:B:A	99.5126
-	RXRB_1_frame1	RXRB_1_frame1	-	-	-	L3MBTL3	L3MBTL3	-	-	P41235_S0__Q05BQ5_S0__AF1:A:B	1.4292
-	KRT13	KRT13	-	-	-	NEFL_2_frame1	NEFL_2_frame1	-	-	P07197_S0__P08670_S0__AFMM5:B:A	268.149
-	KRT13	KRT13	-	-	-	NEFL_1_frame1	NEFL_1_frame1	-	-	Q3SY84_S0__Q7Z3Y8_S0__AFMM3:B:A	204.402
-	KRT13	KRT13	-	-	-	SSX2IP_ORF1	SSX2IP_ORF1	-	-	P19012_S0__Q9Y2D8_S0__AFMM3:A:B	88.3834
-	KRT13	KRT13	-	-	-	SSX2IP_ORF2	SSX2IP_ORF2	-	-	P19012_S0__Q9Y2D8_S0__AFMM3:A:B	88.3834
-	KRT13	KRT13	-	-	-	THAP1	THAP1	-	-	O76011_S0__Q9BT49_S0__AFMM5:A:B	69.4276
-	GLRX3	GLRX3	-	-	-	GLRX3	GLRX3	-	-	6BKV_AU:A:B	42.4863
-	GLRX3	GLRX3	-	-	-	EHMT2	EHMT2	-	-	P58546_S0__Q86SX6_S0__AFMM1:B:A	3.6914
-	GLRX3	GLRX3	-	-	-	ANKRD50_1_frame1	ANKRD50_1_frame1	-	-	P58546_S0__Q86SX6_S0__AFMM1:B:A	4.8235
-	GLRX3	GLRX3	-	-	-	ANKRD50_2_frame1	ANKRD50_2_frame1	-	-	P58546_S0__Q86SX6_S0__AFMM1:B:A	4.8235
-	GORASP1	GORASP1	-	-	-	GORASP1	GORASP1	-	-	4EDJ_AU:B:A	60.8746
-	REEP6	REEP6	-	-	-	REEP6	REEP6	-	-	Q00765_S0__Q96HR9_S0__AF1:B:A	84.8792
-	ZCWPW1_2_frame1	ZCWPW1_2_frame1	-	-	-	ZCWPW1_6_frame1	ZCWPW1_6_frame1	-	-	7VLN_AU:C:B	5.1987
-	ZCWPW1_2_frame1	ZCWPW1_2_frame1	-	-	-	ZCWPW1_2_frame1	ZCWPW1_2_frame1	-	-	7VLN_AU:C:B	5.1987
-	ZCWPW1_2_frame1	ZCWPW1_2_frame1	-	-	-	ZCWPW1_1_frame1	ZCWPW1_1_frame1	-	-	7VLN_AU:C:B	5.1987
-	ZCWPW1_2_frame1	ZCWPW1_2_frame1	-	-	-	ZCWPW1_4_frame1	ZCWPW1_4_frame1	-	-	7VLN_AU:C:B	5.1987
-	ZCWPW1_2_frame1	ZCWPW1_2_frame1	-	-	-	ZCWPW1_5_frame1	ZCWPW1_5_frame1	-	-	7VLN_AU:C:B	5.1987
-	ELK3	ELK3	-	-	-	CDK5_1_frame1	CDK5_1_frame1	-	-	P28482_S0__P41162_S0__AFMM1:B:A	68.9703
-	ELK3	ELK3	-	-	-	MAPK7	MAPK7	-	-	P28482_S0__P41162_S0__AFMM1:B:A	76.3942
-	ELK3	ELK3	-	-	-	CDK20_1_frame1	CDK20_1_frame1	-	-	P28482_S0__P41162_S0__AFMM1:B:A	69.6844
-	ELK3	ELK3	-	-	-	CAMK2D	CAMK2D	-	-	P28482_S0__P41162_S0__AFMM1:B:A	76.1738
-	ELK3	ELK3	-	-	-	CDK5_2_frame1	CDK5_2_frame1	-	-	P28482_S0__P41162_S0__AFMM1:B:A	69.7799
-	IVD_1_frame1	IVD_1_frame1	-	-	-	IVD_1_frame1	IVD_1_frame1	-	-	4KTO:A:C	113.115
-	IVD_1_frame1	IVD_1_frame1	-	-	-	IVD_2_frame1	IVD_2_frame1	-	-	4O5M:B:D	124.337
-	ARRB1	ARRB1	-	-	-	ARRB1	ARRB1	-	-	9KYU:D:A	106.341
-	ARRB1	ARRB1	-	-	-	CXCR3_1_frame1	CXCR3_1_frame1	-	-	9E82:A:R	57.3545
-	ARRB1	ARRB1	-	-	-	LCK_2_frame1	LCK_2_frame1	-	-	9CX3:B:C	12.4055
-	ARRB1	ARRB1	-	-	-	LCK_1_frame1	LCK_1_frame1	-	-	9CX3:B:C	12.4055
-	ARRB1	ARRB1	-	-	-	NCK2_1_frame1	NCK2_1_frame1	-	-	9CX3:B:C	12.4055
-	CLCN2_3_frame1	CLCN2_3_frame1	-	-	-	CLCN2_3_frame1	CLCN2_3_frame1	-	-	2PFI:A:B	26.1381
-	CLCN2_3_frame1	CLCN2_3_frame1	-	-	-	CLCN2_2_frame1	CLCN2_2_frame1	-	-	2PFI:A:B	26.1381
-	CLCN2_3_frame1	CLCN2_3_frame1	-	-	-	CLCN2_4_frame1	CLCN2_4_frame1	-	-	7XF5:A:B	21.9414
-	CLCN2_3_frame1	CLCN2_3_frame1	-	-	-	CLCN2_1_frame1	CLCN2_1_frame1	-	-	8TA5:B:A	11.5851
-	SLC25A10_1_frame1	SLC25A10_1_frame1	-	-	-	STK25_3_frame1	STK25_3_frame1	-	-	P05141_S0__Q13233_S2__AFMM2:A:B	41.5868
-	AHCYL1	AHCYL1	-	-	-	AHCYL1	AHCYL1	-	-	5UTU_AU:G:H	197.705
-	RBPMS	RBPMS	-	-	-	RBPMS	RBPMS	-	-	5DET:A:B	41.5443
-	RBPMS	RBPMS	-	-	-	FHL2	FHL2	-	-	P61968_S0__Q93062_S0__AF:B:A	31.1393
-	RBPMS	RBPMS	-	-	-	CDC23	CDC23	-	-	Q93062_S0__Q9UJX2_S0__AFMM1:A:B	53.6082
-	SMUG1_2_frame1	SMUG1_2_frame1	-	-	-	SMUG1_2_frame1	SMUG1_2_frame1	-	-	5H93_AU:C:B	43.7183
-	SMUG1_2_frame1	SMUG1_2_frame1	-	-	-	SMUG1_1_frame1	SMUG1_1_frame1	-	-	5H93_AU:C:B	43.7183
-	CARD9_ORF2	CARD9_ORF2	-	-	-	CARD9_ORF1	CARD9_ORF1	-	-	6E28:D:C	223.058
-	CARD9_ORF2	CARD9_ORF2	-	-	-	CARD9_ORF2	CARD9_ORF2	-	-	6E28:D:C	223.058
-	ZKSCAN4_1_frame1	ZKSCAN4_1_frame1	-	-	-	TRAF4	TRAF4	-	-	P10073_S0__Q6P9G9_S0__AFMM2:A:B	85.5368
-	ZKSCAN4_1_frame1	ZKSCAN4_1_frame1	-	-	-	CCNDBP1	CCNDBP1	-	-	O95273_S0__Q12901_S0__AFMM2:B:A	107.822
-	ZKSCAN4_1_frame1	ZKSCAN4_1_frame1	-	-	-	MEOX1	MEOX1	-	-	P31273_S0__Q8IZ26_S0__AF1:B:A	4.3336
-	ZKSCAN4_1_frame1	ZKSCAN4_1_frame1	-	-	-	DLX3	DLX3	-	-	P31273_S0__Q8IZ26_S0__AF1:B:A	4.3336
-	ZKSCAN4_1_frame1	ZKSCAN4_1_frame1	-	-	-	MEOX2	MEOX2	-	-	P31273_S0__Q8IZ26_S0__AF1:B:A	4.3336
-	RARA_ORF1	RARA_ORF1	-	-	-	NR1H4	NR1H4	-	-	4NQA_AU:H:I	73.7182
-	RARA_ORF1	RARA_ORF1	-	-	-	RXRB_3_frame1	RXRB_3_frame1	-	-	4NQA_AU:H:I	71.4838
-	RARA_ORF1	RARA_ORF1	-	-	-	NR1D1	NR1D1	-	-	4NQA_AU:I:H	53.884
-	RARA_ORF1	RARA_ORF1	-	-	-	RARB	RARB	-	-	3E00:A:D	65.8855
-	RARA_ORF1	RARA_ORF1	-	-	-	ZKSCAN4_1_frame1	ZKSCAN4_1_frame1	-	-	P08047_S0__Q03181_S0__AFMM1:B:A	29.7428
-	ABCF3_2_frame1	ABCF3_2_frame1	-	-	-	ABCF3_2_frame1	ABCF3_2_frame1	-	-	5ZXD_AU:A:B	3.1725
-	ABCF3_2_frame1	ABCF3_2_frame1	-	-	-	ABCF3_1_frame1	ABCF3_1_frame1	-	-	5ZXD_AU:A:B	28.636
-	CARD9_ORF1	CARD9_ORF1	-	-	-	CARD9_ORF1	CARD9_ORF1	-	-	6E28:D:C	223.058
-	CARD9_ORF1	CARD9_ORF1	-	-	-	CARD9_ORF2	CARD9_ORF2	-	-	6E28:D:C	223.058
-	CREB3L1_ORF2	CREB3L1_ORF2	-	-	-	CREB3L1_ORF2	CREB3L1_ORF2	-	-	P16220_S0__P18846_S0__AFMM2:B:A	40.3344
-	CREB3L1_ORF2	CREB3L1_ORF2	-	-	-	CREB3L1_ORF1	CREB3L1_ORF1	-	-	P16220_S0__P18846_S0__AFMM2:B:A	33.5825
-	CREB3L1_ORF2	CREB3L1_ORF2	-	-	-	ATF4_ORF1	ATF4_ORF1	-	-	P18848_S0__Q68CJ9_S0__AFMM5:B:A	42.7476
-	CREB3L1_ORF2	CREB3L1_ORF2	-	-	-	IRAK4_1_frame1	IRAK4_1_frame1	-	-	O43318_S0__P16220_S0__AFMM1:B:A	45.5345
-	CREB3L1_ORF2	CREB3L1_ORF2	-	-	-	CDK20_4_frame1	CDK20_4_frame1	-	-	O43318_S0__P16220_S0__AFMM1:B:A	2.1892
-	WASL	WASL	-	-	-	NCK1_1_frame1	NCK1_1_frame1	-	-	P42768_S0__Q5T0N5_S0__AFMM1:A:B	16.7849
-	WASL	WASL	-	-	-	LCP2	LCP2	-	-	O00401_S0__O43516_S0__AFMM5:A:B	106.78
