Iso_ID	Inter_ID	Interaction_Found	Source	Model_Job	Base_Tpl	Tpl_Iso_Chain	Model_Iso_Chain	Tpl_Inter_Chain	Model_Inter_Chain	Model_Name	molpdf	DOPE_Score	Normalized_DOPE_Score
UCK1_3	UCK1	negative	MMseqs2	UCK1_3__9SGF_A__partner_B	9SGF	A	A	B	B	UCK1_3.B99990058.pdb	1741.4513	-54594.80078	-1.4739
UCK1_5	UCK1	positive	MMseqs2	UCK1_5__9SGF_A__partner_B	9SGF	A	A	B	B	UCK1_5.B99990032.pdb	3936.8618	-47712.70312	-0.94652
UCK1_1	UCK1	negative	MMseqs2	UCK1_1__9SGF_B__partner_A	9SGF	B	A	A	B	UCK1_1.B99990037.pdb	1779.8169	-45741.4375	-0.94071
UCK1_3	UCK1	negative	MMseqs2	UCK1_3__9SGF_B__partner_A	9SGF	B	A	A	B	UCK1_3.B99990017.pdb	1846.5353	-54984.4375	-1.53591
UCK1_5	UCK1	positive	MMseqs2	UCK1_5__9SGF_B__partner_A	9SGF	B	A	A	B	UCK1_5.B99990048.pdb	3900.4487	-47763.6875	-0.95508
UPP2_1	UPP2	positive	MMseqs2	UPP2_1__2XRF_B__partner_C	2XRF	B	A	C	B	UPP2_1.B99990099.pdb	3622.6421	-78151.28906	-1.32148
UPP2_2	UPP2	positive	MMseqs2	UPP2_2__2XRF_B__partner_C	2XRF	B	A	C	B	UPP2_2.B99990028.pdb	3918.1443	-70631.375	-1.04137
UPP2_3	UPP2	negative	MMseqs2	UPP2_3__2XRF_B__partner_C	2XRF	B	A	C	B	UPP2_3.B99990018.pdb	5162.4873	-68434.96094	-0.99075
UPP2_1	UPP2	positive	Both	UPP2_1__2XRF_C__partner_B	2XRF	C	A	B	B	UPP2_1.B99990004.pdb	2931.5801	-78724.21875	-1.35366
UPP2_2	UPP2	positive	Both	UPP2_2__2XRF_C__partner_B	2XRF	C	A	B	B	UPP2_2.B99990032.pdb	3229.9316	-71182.25781	-1.07383
UPP2_3	UPP2	negative	Both	UPP2_3__2XRF_C__partner_B	2XRF	C	A	B	B	UPP2_3.B99990005.pdb	4456.1436	-68997.07812	-1.02583
UPP2_4	UPP2	negative	StructMAn	UPP2_4__2XRF_C__partner_B	2XRF	C	A	B	B	UPP2_4.B99990083.pdb	2441.8416	-40248.90234	-0.44666
