Isoform_ID	Interactor_ID	Y2H_Result	Source	Template	Model_Chains	Selected_Model	MOLPDF	DOPE_Score	Normalized_DOPE_Score
PPP3CA_1	PPP3R1	positive	StructMAn	4ORC (A:B)	A:B	PPP3CA_1.B99990072.pdb	2903.981	-75198.80469	-0.6367
PPP3CA_2	PPP3R1	negative	MMseqs2	4OR9 (A:B)	A:B	PPP3CA_2.B99990004.pdb	5599.7251	-77325.17969	-0.74778
PPP3CA_2	PPP3R1	negative	StructMAn	4ORC (A:B)	A:B	PPP3CA_2.B99990077.pdb	2789.3054	-76256.32812	-0.63759
RXRB_1	NR1H3	positive	MMseqs2	4NQA (A:B)	A:B	RXRB_1.B99990099.pdb	3548.1509	-81876.38281	0.08679
RXRB_1	RARA_ORF1	positive	MMseqs2	5UAN (A:B)	A:B	RXRB_1.B99990023.pdb	4359.3003	-78254.15625	0.00755
RXRB_1	RARA_ORF2	positive	MMseqs2	5UAN (A:B)	A:B	RXRB_1.B99990023.pdb	4359.3003	-78254.15625	0.00755
RXRB_1	RARB	positive	StructMAn	4IQR (B:A)	A:B	RXRB_1.B99990048.pdb	7454.7124	-75591.99219	0.32268
RXRB_1	RARB	positive	MMseqs2	5UAN (A:B)	A:B	RXRB_1.B99990023.pdb	4359.3003	-78254.15625	0.00755
RXRB_2	NR1H3	positive	MMseqs2	4NQA (A:B)	A:B	RXRB_2.B99990096.pdb	4038.8169	-81475.28125	0.1464
RXRB_2	RARA_ORF1	positive	MMseqs2	5UAN (A:B)	A:B	RXRB_2.B99990073.pdb	4360.2192	-78573.60938	0.01144
RXRB_2	RARB	positive	StructMAn	4IQR (B:A)	A:B	RXRB_2.B99990049.pdb	7565.8774	-76203.91406	0.30041
RXRB_2	RARB	positive	MMseqs2	5UAN (A:B)	A:B	RXRB_2.B99990073.pdb	4360.2192	-78573.60938	0.01144
RXRB_3	RARB	negative	StructMAn	4IQR (B:A)	A:B	RXRB_3.B99990037.pdb	6685.7148	-70648.27344	0.48973
RXRB_3	RARB	negative	MMseqs2	5UAN (A:B)	A:B	RXRB_3.B99990050.pdb	4797.8359	-72677.10156	0.21868
RXRB_4	NR1H3	negative	MMseqs2	4NQA (A:B)	A:B	RXRB_4.B99990011.pdb	3748.5356	-81776.96094	0.07784
RXRB_4	RARA_ORF1	negative	MMseqs2	5UAN (A:B)	A:B	RXRB_4.B99990057.pdb	4688.9497	-79168.40625	-0.09719
RXRB_4	RARA_ORF2	negative	MMseqs2	5UAN (A:B)	A:B	RXRB_4.B99990057.pdb	4688.9497	-79168.40625	-0.09719
RXRB_4	RARB	negative	MMseqs2	5UAN (A:B)	A:B	RXRB_4.B99990057.pdb	4688.9497	-79168.40625	-0.09719
UCK1_1	UCK1	negative	MMseqs2	9SGF (A:B)	A:B	UCK1_1.B99990100.pdb	1809.2424	-45874.26953	-0.96343
UCK1_1	UCK1	negative	MMseqs2	9SGF (B:A)	A:B	UCK1_1.B99990037.pdb	1779.8169	-45741.4375	-0.94071
UCK1_3	UCK1	negative	StructMAn	6PWZ (H:B)	A:B	UCK1_3.B99990074.pdb	1779.0887	-52762.08594	-1.14831
UCK1_3	UCK1	negative	MMseqs2	9SGF (A:B)	A:B	UCK1_3.B99990058.pdb	1741.4513	-54594.80078	-1.4739
UCK1_3	UCK1	negative	MMseqs2	9SGF (B:A)	A:B	UCK1_3.B99990017.pdb	1846.5353	-54984.4375	-1.53591
UCK1_5	UCK1	positive	StructMAn	6PWZ (H:B)	A:B	UCK1_5.B99990098.pdb	2010.649	-47634.17969	-0.89878
UCK1_5	UCK1	positive	MMseqs2	9SGF (A:B)	A:B	UCK1_5.B99990032.pdb	3936.8618	-47712.70312	-0.94652
UCK1_5	UCK1	positive	MMseqs2	9SGF (B:A)	A:B	UCK1_5.B99990048.pdb	3900.4487	-47763.6875	-0.95508
UPP2_1	UPP2	positive	MMseqs2	2XRF (B:C)	A:B	UPP2_1.B99990099.pdb	3622.6421	-78151.28906	-1.32148
UPP2_1	UPP2	positive	Both	2XRF (C:B)	A:B	UPP2_1.B99990004.pdb	2931.5801	-78724.21875	-1.35366
UPP2_2	UPP2	positive	MMseqs2	2XRF (B:C)	A:B	UPP2_2.B99990028.pdb	3918.1443	-70631.375	-1.04137
UPP2_2	UPP2	positive	Both	2XRF (C:B)	A:B	UPP2_2.B99990032.pdb	3229.9316	-71182.25781	-1.07383
UPP2_3	UPP2	negative	MMseqs2	2XRF (B:C)	A:B	UPP2_3.B99990018.pdb	5162.4873	-68434.96094	-0.99075
UPP2_3	UPP2	negative	Both	2XRF (C:B)	A:B	UPP2_3.B99990005.pdb	4456.1436	-68997.07812	-1.02583
UPP2_4	UPP2	negative	StructMAn	2XRF (C:B)	A:B	UPP2_4.B99990083.pdb	2441.8416	-40248.90234	-0.44666
